data_carga,UF_PROPONENTE,COD_MUNIC_IBGE,MUNIC_PROPONENTE,NR_PROPOSTA,DIA_PROPOSTA,MODALIDADE,NR_CONVENIO,ANO_Convenio,DIA_ASSIN_CONV,SIT_CONVENIO,INSTRUMENTO_ATIVO,PROGRAMA,ACAO,VL_GLOBAL_CONV,VL_REPASSE_CONV,VL_CONTRAPARTIDA_CONV,VL_EMPENHADO_CONV,VL_DESEMBOLSADO_CONV,VL_SALDO_REMAN_TESOURO,VL_SALDO_REMAN_CONVENENTE,VL_RENDIMENTO_APLICACAO,VL_INGRESSO_CONTRAPARTIDA,VL_SALDO_CONTA,VALOR_GLOBAL_ORIGINAL_CONV,NOME_FORNECEDOR,IDENTIF_FORNECEDOR,ANO_pgto,CATEGORIA_SUGERIDA,CATEGORIA_ROTAS,Divisao,VALOR_AGREGADO,QTD_AGREGADA,soma_vlr_agregado,UNIDADE_ITEM_INVESTIMENTO_META,MAX_QUANTIDADE_M2,custoM2,MEDIANA_CUSTO_M2,M2_estimado,KM_estimado
2026-06-01 06:52:13,AP,1600600,SANTANA,90284/2009,2009-10-29,CONVENIO,708955,2009,2009-12-29,Prestação de Contas Concluída,NÃO,Programa Calha Norte,1211,1052631.5,1000000.0,52631.5,1000000.0,1000000.0,22079.28,,,52631.5,,,CORREA & SAMPAIO LTDA,04967719000157,2011.0,Ponte - Obras,,Obras,727682.3099999999,1.0,,,,,134.04477169424123,,
2026-06-01 06:52:13,AP,1600600,SANTANA,90284/2009,2009-10-29,CONVENIO,708955,2009,2009-12-29,Prestação de Contas Concluída,NÃO,Programa Calha Norte,1211,1052631.5,1000000.0,52631.5,1000000.0,1000000.0,22079.28,,,52631.5,,,CORREA & SAMPAIO LTDA,04967719000157,2012.0,Ponte - Obras,,Obras,323239.59,1.0,,,,,134.04477169424123,,
2026-06-01 06:52:13,RO,1100379,ALTO ALEGRE DOS PARECIS,71818/2009,2009-09-16,CONVENIO,709639,2009,2009-12-28,Prestação de Contas Concluída,NÃO,Programa Calha Norte,1211,102100.0,100000.0,2100.0,100000.0,100000.0,22278.8,477.89,,2100.0,0.0,,CONSTRUTORA TABALIPA EIRELI,10776550000150,2011.0,Sistema de abastecimento de água - Obras,,Obras,83683.37,1.0,,,,,134.04477169424123,,
2026-06-01 06:52:13,AC,1200013,ACRELÂNDIA,69015/2009,2009-09-02,CONVENIO,709690,2009,2009-12-28,Prestação de Contas Concluída,NÃO,,,612689.68,600000.0,12689.68,600000.0,600000.0,58929.78,,,12689.68,,,SOLU S ENGENHARIA LTDA,05495255000196,2011.0,Edificações Públicas — Administrativas,,,569137.27,,,,,,134.04477169424123,,
2026-06-01 06:52:13,AC,1200385,PLÁCIDO DE CASTRO,69169/2009,2009-09-02,CONVENIO,709696,2009,2009-12-28,Prestação de Contas Concluída,NÃO,,,211250.0,150000.0,61250.0,150000.0,150000.0,24799.39,,,60865.0,,169000.0,MERCETOYA PECAS E ACESSORIOS IMPORTACAO E EXPORTACAO - EIRELI,34709857000105,2012.0,Aquisição de Veículos (Frota Leve),,Equipamentos,210000.0,1.0,,,,,134.04477169424123,,
2026-06-01 06:52:13,AC,1200138,BUJARI,69121/2009,2009-09-02,CONVENIO,709700,2009,2009-12-28,Prestação de Contas Concluída,NÃO,,,124950.0,100000.0,24950.0,100000.0,100000.0,5606.23,,,24950.0,0.0,110046.0,ACRE COMERCIO E ADMINISTRACAO LTDA,63605653000114,2011.0,Aquisição de Veículos (Frota Leve),,Equipamentos,90000.0,1.0,,,,,134.04477169424123,,
2026-06-01 06:52:13,AC,1200138,BUJARI,69121/2009,2009-09-02,CONVENIO,709700,2009,2009-12-28,Prestação de Contas Concluída,NÃO,,,124950.0,100000.0,24950.0,100000.0,100000.0,5606.23,,,24950.0,0.0,110046.0,J A COMERCIO LTDA,01651742000140,2011.0,Máquinas e equipamentos diversos,,Outros,34950.0,0.0,,,,,134.04477169424123,,
2026-06-01 06:52:13,AP,1600055,SERRA DO NAVIO,61597/2009,2009-08-13,CONVENIO,709714,2009,2009-12-28,Prestação de Contas Concluída,NÃO,Programa Calha Norte,1211,256250.0,250000.0,6250.0,250000.0,250000.0,12512.11,,,6250.0,0.0,,P. H. P. FERREIRA - ME,07840492000172,2011.0,Centros Comunitários e Sociais,,,247920.64,,,,,,134.04477169424123,,
2026-06-01 06:52:13,AP,1600535,PORTO GRANDE,87957/2009,2009-10-27,CONVENIO,709720,2009,2009-12-28,Prestação de Contas Concluída,NÃO,Programa Calha Norte,1211,255102.04,250000.0,5102.04,250000.0,250000.0,11826.06,137.12,,5102.04,0.0,,CONSTRUBEM CONSTRUCOES COMERCIO E SERVICOS LTDA - EPP,08520321000129,2011.0,Centros Comunitários e Sociais,,,253510.13999999998,,,,,,134.04477169424123,,
2026-06-01 06:52:13,AP,1600535,PORTO GRANDE,89000/2009,2009-10-28,CONVENIO,709723,2009,2009-12-28,Prestação de Contas Concluída,NÃO,Programa Calha Norte,1211,255102.04,250000.0,5102.04,250000.0,250000.0,5478.93,109.77,,5102.04,0.0,,I B R CONSTRUTORA LTDA EPP,06272107000175,2011.0,Equipamentos de Educação,,,231378.9,,,,,,134.04477169424123,,
2026-06-01 06:52:13,AP,1600535,PORTO GRANDE,89000/2009,2009-10-28,CONVENIO,709723,2009,2009-12-28,Prestação de Contas Concluída,NÃO,Programa Calha Norte,1211,255102.04,250000.0,5102.04,250000.0,250000.0,5478.93,109.77,,5102.04,0.0,,I B R CONSTRUTORA LTDA EPP,06272107000175,2012.0,Equipamentos de Educação,,,22045.82,,,,,,134.04477169424123,,
2026-06-01 06:52:13,AP,1600600,SANTANA,84869/2009,2009-10-21,CONVENIO,709727,2009,2009-12-28,Prestação de Contas Concluída,NÃO,Programa Calha Norte,1211,777777.78,700000.0,77777.78,700000.0,700000.0,58499.03,,,77777.78,,,BERNACOM LTDA,08450948000150,2011.0,Urbanização e Orlas,,,4663.23,,,,,,134.04477169424123,,
2026-06-01 06:52:13,AP,1600600,SANTANA,84869/2009,2009-10-21,CONVENIO,709727,2009,2009-12-28,Prestação de Contas Concluída,NÃO,Programa Calha Norte,1211,777777.78,700000.0,77777.78,700000.0,700000.0,58499.03,,,77777.78,,,BERNACOM LTDA,08450948000150,2012.0,Urbanização e Orlas,,,752161.61,,,,,,134.04477169424123,,
2026-06-01 06:52:13,AP,1600600,SANTANA,93731/2009,2009-10-30,CONVENIO,709820,2009,2009-12-28,Prestação de Contas Concluída,NÃO,Programa Calha Norte,1211,210526.31,200000.0,10526.31,200000.0,200000.0,4269.39,,,10526.31,,,CONEC CONSTRUCOES EMPREENDIMENTOS E COMERCIO LTDA - ME,34939397000101,2011.0,Equipamentos de Saúde,,,182094.18,,,,,,134.04477169424123,,
2026-06-01 06:52:13,AP,1600600,SANTANA,93731/2009,2009-10-30,CONVENIO,709820,2009,2009-12-28,Prestação de Contas Concluída,NÃO,Programa Calha Norte,1211,210526.31,200000.0,10526.31,200000.0,200000.0,4269.39,,,10526.31,,,CONEC CONSTRUCOES EMPREENDIMENTOS E COMERCIO LTDA - ME,34939397000101,2012.0,Equipamentos de Saúde,,,22058.88,,,,,,134.04477169424123,,
2026-06-01 06:52:13,AC,1200203,CRUZEIRO DO SUL,67546/2009,2009-08-31,CONVENIO,709822,2009,2009-12-28,Prestação de Contas Concluída,NÃO,,,208346.59,200000.0,8346.59,200000.0,200000.0,11772.08,2584.56,,8346.59,,,C P ROSAS CONSTRUCOES LTDA,11092802000195,2010.0,OUTROS / NAO CLASSIFICADO,,Outros,108577.07,0.0,,,,,134.04477169424123,,
2026-06-01 06:52:13,AC,1200203,CRUZEIRO DO SUL,67546/2009,2009-08-31,CONVENIO,709822,2009,2009-12-28,Prestação de Contas Concluída,NÃO,,,208346.59,200000.0,8346.59,200000.0,200000.0,11772.08,2584.56,,8346.59,,,C P ROSAS CONSTRUCOES LTDA,11092802000195,2011.0,OUTROS / NAO CLASSIFICADO,,Outros,94557.53,0.0,,,,,134.04477169424123,,
2026-06-01 06:52:13,AP,1600055,SERRA DO NAVIO,61569/2009,2009-08-13,CONVENIO,709836,2009,2009-12-29,Prestação de Contas Concluída,NÃO,,,512000.0,500000.0,12000.0,500000.0,500000.0,30994.57,,,12000.0,0.0,,P. H. P. FERREIRA - ME,07840492000172,2011.0,Habitação Popular,,,498251.37000000005,,,,,,134.04477169424123,,
2026-06-01 06:52:13,AP,1600212,CUTIAS,85664/2009,2009-10-22,CONVENIO,709939,2009,2009-12-29,Prestação de Contas Concluída,NÃO,Programa Calha Norte,1211,1442000.0,1400000.0,42000.0,1400000.0,1400000.0,60634.07,,,42000.0,0.0,,CONSTRUTORA FREITAS E SOUZA LTDA,84416080000150,2011.0,Pavimentação de Vias,,Obras,1408220.8699999999,1.0,1408220.8699999999,,,,134.04477169424123,10505.600869030382,1.7509334781717305
2026-06-01 06:52:13,AP,1600535,PORTO GRANDE,94071/2009,2009-10-31,CONVENIO,710184,2009,2009-12-29,Prestação de Contas Concluída,NÃO,Programa Calha Norte,1211,306122.45,300000.0,6122.45,300000.0,300000.0,15068.98,,,6122.45,0.0,,CONSTRUBEM CONSTRUCOES COMERCIO E SERVICOS LTDA - EPP,08520321000129,2011.0,Outras obras e instalações,,Obras,304477.49,1.0,,,,,134.04477169424123,,
2026-06-01 06:52:13,AP,1600055,SERRA DO NAVIO,94025/2009,2009-10-31,CONVENIO,710202,2009,2009-12-28,Prestação de Contas Concluída,NÃO,,,409600.0,400000.0,9600.0,400000.0,400000.0,33679.72,,,9600.0,0.0,,P. H. P. FERREIRA - ME,07840492000172,2011.0,Centros Comunitários e Sociais,,,390957.26,,,,,,134.04477169424123,,
2026-06-01 06:52:13,AM,1304237,TONANTINS,82878/2009,2009-10-16,CONVENIO,710272,2009,2009-12-28,Prestação de Contas Concluída,NÃO,,,630000.0,600000.0,30000.0,600000.0,600000.0,23633.0,,,30000.0,,,OSINEI DA SILVA GARCIA,10570767000100,2011.0,Praças e Espaços de Lazer,,,563447.25,,,,,,134.04477169424123,,
2026-06-01 06:52:13,AM,1300805,BORBA,87374/2009,2009-10-26,CONVENIO,710291,2009,2009-12-28,Prestação de Contas Concluída,NÃO,,,525000.0,500000.0,25000.0,500000.0,500000.0,1989.72,,,25000.0,,,VILA ENGENHARIA LTDA,84490309000105,2011.0,Praças e Espaços de Lazer,,,502202.67,,,,,,134.04477169424123,,
2026-06-01 06:52:13,AM,1301100,CAREIRO,87428/2009,2009-10-26,CONVENIO,710400,2009,2009-12-28,Prestação de Contas Rejeitada,NÃO,,,1060000.0,1000000.0,60000.0,1000000.0,1000000.0,313.3,,,54721.48,,,J R VIANA COSTA CONSTRUTORA - ME,07112702000106,2011.0,Outras obras e instalações,,Obras,969946.18,1.0,,,,,134.04477169424123,,
2026-06-01 06:52:13,AM,1301100,CAREIRO,87428/2009,2009-10-26,CONVENIO,710400,2009,2009-12-28,Prestação de Contas Rejeitada,NÃO,,,1060000.0,1000000.0,60000.0,1000000.0,1000000.0,313.3,,,54721.48,,,J R VIANA COSTA CONSTRUTORA - ME,07112702000106,2012.0,Outras obras e instalações,,Obras,53079.85,1.0,,,,,134.04477169424123,,
2026-06-01 06:52:13,AM,1302405,LÁBREA,99575/2009,2009-11-16,CONVENIO,710436,2009,2009-12-28,Prestação de Contas Rejeitada,NÃO,,,1050000.0,1000000.0,50000.0,1000000.0,1000000.0,,,,50000.0,,,RENZO CONSTRUCOES LTDA,00924161000171,2010.0,Calçadas e Acessibilidade,,,478567.15,,,,,,134.04477169424123,,
2026-06-01 06:52:13,AM,1302405,LÁBREA,99575/2009,2009-11-16,CONVENIO,710436,2009,2009-12-28,Prestação de Contas Rejeitada,NÃO,,,1050000.0,1000000.0,50000.0,1000000.0,1000000.0,,,,50000.0,,,RENZO CONSTRUCOES LTDA,00924161000171,2011.0,Calçadas e Acessibilidade,,,500000.0,,,,,,134.04477169424123,,
2026-06-01 06:52:13,AM,1300805,BORBA,91665/2009,2009-10-29,CONVENIO,710441,2009,2009-12-28,Prestação de Contas Concluída,NÃO,,,315000.0,300000.0,15000.0,300000.0,300000.0,10446.01,,,15000.0,0.0,,NND COMERCIO E EMPREENDIMENTOS LTDA,05391240000188,2011.0,Outras obras e instalações,,Obras,271420.97000000003,1.0,,,,,134.04477169424123,,
2026-06-01 06:52:13,AM,1300805,BORBA,91665/2009,2009-10-29,CONVENIO,710441,2009,2009-12-28,Prestação de Contas Concluída,NÃO,,,315000.0,300000.0,15000.0,300000.0,300000.0,10446.01,,,15000.0,0.0,,NND COMERCIO E EMPREENDIMENTOS LTDA,05391240000188,2012.0,Outras obras e instalações,,Obras,21886.35,1.0,,,,,134.04477169424123,,
